                   n                    p                    t                    s
450 146.763826315159 146.76566086681 146.764437832376 
451 146.763829023971 146.765655449174 146.764437832372 
452 146.763831714823 146.765650067455 146.764437832367 
453 146.763834387875 146.765644721338 146.764437832363 
454 146.763837043283 146.765639410508 146.764437832358 
455 146.763839681203 146.765634134656 146.764437832354 
456 146.763842301787 146.765628893476 146.76443783235 
457 146.763844905186 146.765623686664 146.764437832346 
458 146.763847491552 146.76561851392 146.764437832341 
459 146.763850061032 146.765613374949 146.764437832337 
460 146.763852613772 146.765608269455 146.764437832333 
461 146.763855149918 146.765603197151 146.764437832329 
462 146.763857669614 146.765598157747 146.764437832325 
463 146.763860173001 146.765593150961 146.764437832321 
464 146.763862660221 146.765588176511 146.764437832317 
465 146.76386513141 146.76558323412 146.764437832314 
466 146.763867586708 146.765578323513 146.76443783231 
467 146.76387002625 146.765573444417 146.764437832306 
468 146.763872450171 146.765568596564 146.764437832302 
469 146.763874858604 146.765563779688 146.764437832298 
470 146.76387725168 146.765558993526 146.764437832295 
471 146.763879629529 146.765554237815 146.764437832291 
472 146.763881992281 146.7655495123 146.764437832288 
473 146.763884340064 146.765544816724 146.764437832284 
474 146.763886673003 146.765540150836 146.76443783228 
475 146.763888991223 146.765535514386 146.764437832277 
476 146.763891294847 146.765530907126 146.764437832274 
477 146.763893583999 146.765526328812 146.76443783227 
478 146.763895858799 146.765521779202 146.764437832267 
479 146.763898119367 146.765517258057 146.764437832264 
480 146.763900365821 146.765512765139 146.76443783226 
481 146.763902598278 146.765508300215 146.764437832257 
482 146.763904816855 146.765503863052 146.764437832254 
483 146.763907021666 146.76549945342 146.76443783225 
484 146.763909212825 146.765495071092 146.764437832247 
485 146.763911390444 146.765490715844 146.764437832244 
486 146.763913554636 146.765486387451 146.764437832241 
487 146.763915705509 146.765482085696 146.764437832238 
488 146.763917843174 146.765477810358 146.764437832235 
489 146.763919967737 146.765473561222 146.764437832232 
490 146.763922079306 146.765469338075 146.764437832229 
491 146.763924177987 146.765465140705 146.764437832226 
492 146.763926263883 146.765460968903 146.764437832223 
493 146.7639283371 146.765456822461 146.76443783222 
494 146.763930397739 146.765452701174 146.764437832217 
495 146.763932445902 146.76544860484 146.764437832215 
496 146.76393448169 146.765444533256 146.764437832212 
497 146.763936505201 146.765440486225 146.764437832209 
498 146.763938516535 146.765436463549 146.764437832206 
499 146.763940515789 146.765432465033 146.764437832204 
500 146.763942503059 146.765428490484 146.764437832201 
501 146.763944478441 146.765424539712 146.764437832198 
502 146.763946442031 146.765420612525 146.764437832196 
503 146.76394839392 146.765416708738 146.764437832193 
504 146.763950334203 146.765412828165 146.76443783219 
505 146.763952262971 146.765408970622 146.764437832188 
506 146.763954180315 146.765405135927 146.764437832185 
507 146.763956086324 146.7654013239 146.764437832183 
508 146.763957981089 146.765397534363 146.76443783218 
509 146.763959864697 146.765393767139 146.764437832178 
510 146.763961737237 146.765390022053 146.764437832175 
511 146.763963598793 146.765386298932 146.764437832173 
512 146.763965449453 146.765382597606 146.764437832171 
513 146.763967289301 146.765378917903 146.764437832168 
514 146.763969118421 146.765375259657 146.764437832166 
515 146.763970936896 146.765371622699 146.764437832164 
516 146.763972744808 146.765368006867 146.764437832161 
517 146.763974542241 146.765364411996 146.764437832159 
518 146.763976329273 146.765360837924 146.764437832157 
519 146.763978105986 146.765357284492 146.764437832155 
520 146.763979872458 146.76535375154 146.764437832152 
521 146.763981628769 146.765350238912 146.76443783215 
522 146.763983374996 146.765346746453 146.764437832148 
523 146.763985111215 146.765343274007 146.764437832146 
524 146.763986837504 146.765339821423 146.764437832144 
525 146.763988553938 146.765336388549 146.764437832142 
526 146.763990260592 146.765332975235 146.76443783214 
527 146.763991957539 146.765329581334 146.764437832137 
528 146.763993644854 146.765326206698 146.764437832135 
529 146.763995322609 146.765322851182 146.764437832133 
530 146.763996990877 146.765319514641 146.764437832131 
531 146.763998649728 146.765316196933 146.764437832129 
532 146.764000299233 146.765312897916 146.764437832127 
533 146.764001939463 146.76530961745 146.764437832125 
534 146.764003570487 146.765306355397 146.764437832124 
535 146.764005192374 146.765303111618 146.764437832122 
536 146.764006805191 146.765299885978 146.76443783212 
537 146.764008409006 146.765296678341 146.764437832118 
538 146.764010003887 146.765293488574 146.764437832116 
539 146.764011589899 146.765290316545 146.764437832114 
540 146.764013167108 146.765287162121 146.764437832112 
541 146.764014735579 146.765284025173 146.764437832111 
542 146.764016295377 146.765280905573 146.764437832109 
543 146.764017846564 146.765277803192 146.764437832107 
544 146.764019389206 146.765274717904 146.764437832105 
545 146.764020923363 146.765271649584 146.764437832103 
546 146.764022449099 146.765268598107 146.764437832102 
547 146.764023966475 146.76526556335 146.7644378321 
548 146.764025475551 146.765262545192 146.764437832098 
549 146.764026976389 146.765259543512 146.764437832097 
550 146.764028469048 146.765256558189 146.764437832095 
551 146.764029953587 146.765253589106 146.764437832093 
552 146.764031430066 146.765250636144 146.764437832092 
553 146.764032898541 146.765247699187 146.76443783209 
554 146.764034359072 146.765244778121 146.764437832088 
555 146.764035811716 146.765241872829 146.764437832087 
556 146.764037256528 146.765238983199 146.764437832085 
557 146.764038693566 146.765236109119 146.764437832084 
558 146.764040122884 146.765233250477 146.764437832082 
559 146.764041544539 146.765230407163 146.76443783208 
560 146.764042958585 146.765227579068 146.764437832079 
561 146.764044365075 146.765224766082 146.764437832077 
562 146.764045764065 146.765221968099 146.764437832076 
563 146.764047155606 146.765219185012 146.764437832074 
564 146.764048539752 146.765216416715 146.764437832073 
